127.0.0.1 - - [03/Dec/2021:10:24:05 -0200] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [03/Dec/2021:10:24:05 -0200] "GET /pescaria/WEB-INF/classes/servlet/PescadorREST.java HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [03/Dec/2021:10:24:14 -0200] "GET /pescaria/pescadores HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [03/Dec/2021:10:24:50 -0200] "POST /pescaria/pescadores HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:10:25:57 -0200] "POST /pescaria/pescadores HTTP/1.1" 500 1397
0:0:0:0:0:0:0:1 - - [03/Dec/2021:10:25:59 -0200] "POST /pescaria/pescadores HTTP/1.1" 500 1397
0:0:0:0:0:0:0:1 - - [03/Dec/2021:10:26:07 -0200] "POST /pescaria/pescadores HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:10:26:27 -0200] "POST /pescaria/pescadores HTTP/1.1" 201 8
0:0:0:0:0:0:0:1 - - [03/Dec/2021:10:29:41 -0200] "GET /pescaria/pescadores HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:10:29:43 -0200] "GET /pescaria/pescadores HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:10:30:51 -0200] "GET /pescaria/pescadores HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [03/Dec/2021:10:43:31 -0200] "POST /pescaria/pescadores HTTP/1.1" 201 8
0:0:0:0:0:0:0:1 - - [03/Dec/2021:10:43:36 -0200] "POST /pescaria/pescadores HTTP/1.1" 201 8
0:0:0:0:0:0:0:1 - - [03/Dec/2021:10:43:47 -0200] "POST /pescaria/pescadores HTTP/1.1" 201 8
0:0:0:0:0:0:0:1 - - [03/Dec/2021:10:43:48 -0200] "GET /pescaria/pescadores HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [03/Dec/2021:10:43:59 -0200] "DELETE /pescaria/pescadores?id=3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:10:44:02 -0200] "GET /pescaria/pescadores HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [03/Dec/2021:10:44:34 -0200] "PUT /pescaria/pescadores HTTP/1.1" 410 42
0:0:0:0:0:0:0:1 - - [03/Dec/2021:10:44:37 -0200] "GET /pescaria/pescadores HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [03/Dec/2021:11:00:21 -0200] "GET /pescaria/pescadores HTTP/1.1" 200 -
