127.0.0.1 - - [19/Oct/2021:21:50:27 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Oct/2021:21:50:30 -0300] "GET /supermercado/WEB-INF/classes/servlet/ClienteREST.java HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [19/Oct/2021:21:50:31 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [19/Oct/2021:21:50:37 -0300] "GET /supermercado/clientes HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [19/Oct/2021:21:51:17 -0300] "GET /supermercado/clientes HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:02:31 -0300] "GET /supermercado/produtos HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:03:51 -0300] "GET /supermercado/produtos HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:03:54 -0300] "GET /supermercado/produtos HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:06:20 -0300] "GET /supermercado/produtos HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:06:48 -0300] "GET /supermercado/produtos HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:14:06 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:14:10 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:14:19 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:14:25 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:14:28 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:14:30 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:14:33 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:15:00 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:15:02 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:15:56 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:15:58 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:16:05 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:16:10 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:16:27 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:16:31 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:16:55 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:16:58 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:17:07 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:17:10 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:17:11 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:17:11 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:17:12 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:17:12 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:17:12 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:17:13 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:17:13 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:17:13 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:17:13 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:17:14 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:17:18 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:17:19 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2021:22:17:24 -0300] "GET /supermercado/entregadores HTTP/1.1" 404 792
