127.0.0.1 - - [19/Oct/2021:09:40:53 -0200] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Oct/2021:09:40:54 -0200] "GET /supermercado/WEB-INF/classes/servlet/ClienteREST.java HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [19/Oct/2021:09:40:54 -0200] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [19/Oct/2021:09:41:00 -0200] "GET /supermercado/clientes HTTP/1.1" 500 1432
0:0:0:0:0:0:0:1 - - [19/Oct/2021:09:41:19 -0200] "GET /supermercado/clientes HTTP/1.1" 500 1432
0:0:0:0:0:0:0:1 - - [19/Oct/2021:09:41:20 -0200] "GET /supermercado/clientes HTTP/1.1" 500 1432
0:0:0:0:0:0:0:1 - - [19/Oct/2021:09:41:20 -0200] "GET /supermercado/clientes HTTP/1.1" 500 1432
0:0:0:0:0:0:0:1 - - [19/Oct/2021:09:41:20 -0200] "GET /supermercado/clientes HTTP/1.1" 500 1432
0:0:0:0:0:0:0:1 - - [19/Oct/2021:09:41:24 -0200] "GET /supermercado/clientes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:09:41:46 -0200] "GET /supermercado/clientes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:09:42:19 -0200] "GET /supermercado/clientes?id=1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:09:42:24 -0200] "GET /supermercado/clientes?id=1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:09:42:25 -0200] "GET /supermercado/clientes?id=1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:09:42:25 -0200] "GET /supermercado/clientes?id=1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:09:42:35 -0200] "GET /supermercado/clientes?id=1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:09:44:14 -0200] "GET /supermercado/clientes HTTP/1.1" 200 -
